Position (mm), Angle (deg), Efficiency
0, 0, 0.94430
0, 10, 0.94414
0, 20, 0.94498
0, 30, 0.94637
0, 40, 0.94811
0, 50, 0.94395
0, 60, 0.92154
0, 70, 0.85311
0, 80, 0.64785
1, 0, 0.94562
1, 10, 0.94620
1, 20, 0.94741
1, 30, 0.94909
1, 40, 0.94858
1, 50, 0.94414
1, 60, 0.92336
1, 70, 0.85666
1, 80, 0.65729
2, 0, 0.94531
2, 10, 0.94590
2, 20, 0.94747
2, 30, 0.94972
2, 40, 0.94924
2, 50, 0.94579
2, 60, 0.92521
2, 70, 0.85904
2, 80, 0.66443
3, 0, 0.94623
3, 10, 0.94657
3, 20, 0.94797
3, 30, 0.94900
3, 40, 0.94920
3, 50, 0.94649
3, 60, 0.92717
3, 70, 0.86240
3, 80, 0.67566
4, 0, 0.94365
4, 10, 0.94419
4, 20, 0.94574
4, 30, 0.94780
4, 40, 0.94954
4, 50, 0.94561
4, 60, 0.92705
4, 70, 0.86473
4, 80, 0.68019
5, 0, 0.94313
5, 10, 0.94380
5, 20, 0.94516
5, 30, 0.94832
5, 40, 0.95000
5, 50, 0.94625
5, 60, 0.92779
5, 70, 0.86702
5, 80, 0.68770
6, 0, 0.94475
6, 10, 0.94541
6, 20, 0.94651
6, 30, 0.94838
6, 40, 0.95001
6, 50, 0.94590
6, 60, 0.92836
6, 70, 0.87231
6, 80, 0.69649
7, 0, 0.94432
7, 10, 0.94500
7, 20, 0.94685
7, 30, 0.94822
7, 40, 0.94917
7, 50, 0.94646
7, 60, 0.92995
7, 70, 0.87661
7, 80, 0.70191
8, 0, 0.94478
8, 10, 0.94517
8, 20, 0.94665
8, 30, 0.94928
8, 40, 0.95076
8, 50, 0.94770
8, 60, 0.93031
8, 70, 0.87766
8, 80, 0.71132
9, 0, 0.94430
9, 10, 0.94492
9, 20, 0.94722
9, 30, 0.94903
9, 40, 0.95021
9, 50, 0.94724
9, 60, 0.93177
9, 70, 0.87927
9, 80, 0.71607
10, 0, 0.94454
10, 10, 0.94538
10, 20, 0.94675
10, 30, 0.94878
10, 40, 0.95041
10, 50, 0.94853
10, 60, 0.93326
10, 70, 0.88021
10, 80, 0.72125
11, 0, 0.94309
11, 10, 0.94374
11, 20, 0.94509
11, 30, 0.94776
11, 40, 0.94942
11, 50, 0.94821
11, 60, 0.93430
11, 70, 0.88494
11, 80, 0.72466
12, 0, 0.94394
12, 10, 0.94436
12, 20, 0.94622
12, 30, 0.94801
12, 40, 0.95020
12, 50, 0.94892
12, 60, 0.93429
12, 70, 0.88420
12, 80, 0.73190
13, 0, 0.94406
13, 10, 0.94551
13, 20, 0.94712
13, 30, 0.94877
13, 40, 0.95051
13, 50, 0.94774
13, 60, 0.93622
13, 70, 0.88818
13, 80, 0.73895
14, 0, 0.94178
14, 10, 0.94271
14, 20, 0.94462
14, 30, 0.94687
14, 40, 0.94847
14, 50, 0.94668
14, 60, 0.93455
14, 70, 0.88923
14, 80, 0.74226
15, 0, 0.94219
15, 10, 0.94276
15, 20, 0.94445
15, 30, 0.94765
15, 40, 0.95039
15, 50, 0.94890
15, 60, 0.93597
15, 70, 0.89168
15, 80, 0.74660
16, 0, 0.94174
16, 10, 0.94227
16, 20, 0.94420
16, 30, 0.94659
16, 40, 0.94892
16, 50, 0.94743
16, 60, 0.93729
16, 70, 0.89265
16, 80, 0.75173
17, 0, 0.94196
17, 10, 0.94281
17, 20, 0.94452
17, 30, 0.94730
17, 40, 0.94871
17, 50, 0.94826
17, 60, 0.93588
17, 70, 0.89495
17, 80, 0.75426
18, 0, 0.94073
18, 10, 0.94137
18, 20, 0.94357
18, 30, 0.94566
18, 40, 0.94780
18, 50, 0.94761
18, 60, 0.93668
18, 70, 0.89483
18, 80, 0.76080
19, 0, 0.94093
19, 10, 0.94160
19, 20, 0.94311
19, 30, 0.94541
19, 40, 0.94732
19, 50, 0.94788
19, 60, 0.93744
19, 70, 0.89720
19, 80, 0.76701
20, 0, 0.94025
20, 10, 0.94118
20, 20, 0.94301
20, 30, 0.94514
20, 40, 0.94793
20, 50, 0.94696
20, 60, 0.93660
20, 70, 0.89925
20, 80, 0.76879
21, 0, 0.94018
21, 10, 0.94086
21, 20, 0.94319
21, 30, 0.94641
21, 40, 0.94799
21, 50, 0.94818
21, 60, 0.93778
21, 70, 0.89925
21, 80, 0.77418
22, 0, 0.93953
22, 10, 0.94069
22, 20, 0.94260
22, 30, 0.94563
22, 40, 0.94756
22, 50, 0.94704
22, 60, 0.93844
22, 70, 0.90067
22, 80, 0.77780
23, 0, 0.93978
23, 10, 0.94043
23, 20, 0.94254
23, 30, 0.94524
23, 40, 0.94747
23, 50, 0.94709
23, 60, 0.93888
23, 70, 0.90122
23, 80, 0.77863
24, 0, 0.93880
24, 10, 0.94068
24, 20, 0.94250
24, 30, 0.94493
24, 40, 0.94782
24, 50, 0.94723
24, 60, 0.93841
24, 70, 0.90261
24, 80, 0.78192
25, 0, 0.93887
25, 10, 0.93954
25, 20, 0.94153
25, 30, 0.94392
25, 40, 0.94635
25, 50, 0.94737
25, 60, 0.93787
25, 70, 0.90501
25, 80, 0.78621
26, 0, 0.93696
26, 10, 0.93869
26, 20, 0.94115
26, 30, 0.94355
26, 40, 0.94605
26, 50, 0.94711
26, 60, 0.93915
26, 70, 0.90526
26, 80, 0.79017
27, 0, 0.93563
27, 10, 0.93725
27, 20, 0.93910
27, 30, 0.94223
27, 40, 0.94470
27, 50, 0.94550
27, 60, 0.93916
27, 70, 0.90518
27, 80, 0.79414
28, 0, 0.93486
28, 10, 0.93718
28, 20, 0.93969
28, 30, 0.94294
28, 40, 0.94512
28, 50, 0.94606
28, 60, 0.93954
28, 70, 0.90805
28, 80, 0.79683
29, 0, 0.93414
29, 10, 0.93620
29, 20, 0.93829
29, 30, 0.94086
29, 40, 0.94416
29, 50, 0.94562
29, 60, 0.93874
29, 70, 0.90691
29, 80, 0.79821
30, 0, 0.93357
30, 10, 0.93494
30, 20, 0.93748
30, 30, 0.94094
30, 40, 0.94442
30, 50, 0.94518
30, 60, 0.93942
30, 70, 0.90904
30, 80, 0.80160
31, 0, 0.93124
31, 10, 0.93377
31, 20, 0.93684
31, 30, 0.94026
31, 40, 0.94346
31, 50, 0.94470
31, 60, 0.93775
31, 70, 0.90965
